Course,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Target
2,0,0,1,1,0,20,0,0,0,0,0,Dropout
11,0,0,0,1,0,19,0,6,6,6,6,Graduate
5,0,0,0,1,0,19,0,6,0,6,0,Dropout
15,0,0,1,0,0,20,0,6,6,6,5,Graduate
3,0,0,1,0,0,45,0,6,5,6,6,Graduate
17,0,1,1,1,0,50,0,5,5,5,5,Graduate
12,0,0,1,0,1,18,0,7,7,8,8,Graduate
11,0,0,0,1,0,22,0,5,0,5,0,Dropout
10,0,0,1,0,1,21,1,6,6,6,6,Graduate
10,0,1,0,0,0,18,0,6,5,6,2,Dropout
14,0,0,1,0,0,18,0,6,6,6,5,Graduate
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
16,0,0,1,0,0,19,0,6,0,6,0,Dropout
11,0,0,1,0,1,21,0,6,6,6,5,Graduate
6,0,0,1,0,1,18,0,5,4,5,5,Graduate
15,0,0,1,0,0,20,0,6,5,6,0,Dropout
10,0,0,1,0,0,18,0,6,1,6,2,Enrolled
12,0,0,1,0,0,18,0,7,7,8,8,Graduate
8,0,0,1,0,0,20,0,5,4,5,4,Graduate
16,0,0,1,0,0,18,0,7,6,7,6,Enrolled
2,0,0,1,0,1,21,0,0,0,0,0,Graduate
13,0,0,1,0,0,20,0,7,7,8,8,Enrolled
12,0,0,1,0,0,18,0,8,7,8,7,Graduate
14,0,0,1,0,1,19,0,6,6,6,6,Graduate
12,0,0,1,0,0,19,0,7,6,8,7,Graduate
10,0,1,1,0,1,18,0,6,5,6,4,Enrolled
10,0,0,1,0,0,21,0,6,6,6,6,Graduate
6,0,0,1,0,0,18,0,5,5,5,4,Enrolled
9,0,0,1,0,0,20,0,5,5,5,5,Graduate
12,0,0,1,1,0,19,0,7,6,7,6,Enrolled
4,0,0,1,1,0,21,0,6,5,6,5,Enrolled
5,0,0,1,1,0,20,0,6,6,6,4,Graduate
9,0,0,0,1,0,18,0,5,3,5,2,Enrolled
3,0,0,1,0,0,19,0,6,6,6,6,Graduate
17,0,0,1,1,0,34,0,5,5,5,5,Graduate
1,0,1,0,1,0,37,0,7,0,7,1,Dropout
7,0,0,1,1,0,43,0,5,0,5,0,Dropout
9,0,0,1,0,0,55,0,5,1,5,2,Dropout
17,0,0,1,0,0,39,0,5,5,5,5,Graduate
8,0,1,0,0,0,20,1,6,3,6,3,Dropout
15,0,1,1,0,0,18,0,6,4,5,0,Dropout
9,0,0,1,0,0,22,0,5,5,5,5,Graduate
12,1,0,1,0,0,22,0,7,5,8,7,Graduate
15,0,0,0,0,0,20,0,6,4,6,5,Dropout
17,0,0,1,0,0,29,0,5,0,5,0,Dropout
17,0,0,1,0,0,24,0,5,2,5,3,Enrolled
10,0,0,1,0,0,18,0,6,6,6,5,Graduate
12,0,0,1,0,1,22,0,7,6,8,7,Graduate
3,0,0,1,0,1,21,0,6,6,6,6,Graduate
10,0,0,1,0,1,19,0,6,5,6,6,Graduate
11,0,0,1,0,1,24,0,6,6,6,6,Graduate
12,0,0,1,0,1,19,0,8,6,8,6,Enrolled
15,0,0,1,0,1,20,0,6,4,6,3,Enrolled
8,0,0,1,0,0,19,0,5,5,5,5,Graduate
17,0,0,1,0,0,27,0,5,5,5,5,Dropout
12,0,0,1,0,0,18,0,7,7,8,8,Graduate
11,0,0,1,0,0,39,0,6,0,6,0,Dropout
8,0,0,1,0,0,27,0,6,5,11,10,Dropout
12,0,0,1,0,0,18,0,8,8,8,8,Graduate
2,0,0,1,0,0,18,0,0,0,0,0,Enrolled
12,0,0,1,0,0,18,0,7,6,8,7,Graduate
10,0,0,1,0,1,21,0,6,6,6,6,Graduate
2,0,0,1,1,1,19,0,0,0,0,0,Enrolled
5,0,0,1,1,0,19,0,6,5,6,1,Enrolled
5,0,0,1,1,0,24,0,6,0,6,0,Enrolled
12,0,0,1,1,0,29,0,7,5,8,5,Dropout
2,0,0,1,1,1,19,0,0,0,0,0,Graduate
4,0,0,1,1,0,23,0,6,6,6,6,Graduate
9,0,1,1,1,0,19,0,5,5,5,4,Dropout
11,0,0,1,1,0,26,0,6,6,6,5,Enrolled
9,0,0,1,1,0,18,0,5,0,5,0,Enrolled
12,0,0,1,1,0,24,0,7,7,8,8,Graduate
2,0,0,1,1,0,19,0,0,0,0,0,Dropout
11,0,0,1,1,0,18,0,6,3,6,1,Dropout
15,0,0,1,1,0,18,0,6,6,6,3,Graduate
